timestamp,detection_time,server_timestamp,protocol,detection_method,ssid,device_name,mac_address,manufacturer,alias,rssi,last_rssi,signal_strength,channel,last_channel,detection_count,latitude,longitude,altitude,gps_timestamp,satellites,fix_quality,gps_time_diff,gps_match_quality,timestamp_source
2026-01-06T10:15:05.960001,2026-01-06 10:15:05,2026-01-06T10:15:05.960001,wifi,beacon_unknown,Tech-WLAN,,,Unknown,,-73,,WEAK,,,1,,,,,,,,,system
2026-01-06T10:15:07.076746,2026-01-06 10:15:07,2026-01-06T10:15:07.076746,wifi,beacon_unknown,Tech-WLAN,,,Unknown,,,,,,,1,,,,,,,,,system
2026-01-06T10:15:12.840620,2026-01-06 10:15:12,2026-01-06T10:15:12.840620,,unknown,,,e4:e5:30:9b:7c:70,Unknown Manufacturer,,-87,-86,WEAK,,,6,,,,,,,,,system
2026-01-06T10:15:12.955759,2026-01-06 10:15:12,2026-01-06T10:15:12.955759,bluetooth_le,unknown,,,4f:36:6d:1WEAK,Unknown Manufacturer,,,,,,,1,,,,,,,,,system
2026-01-06T10:15:13.295496,2026-01-06 10:15:13,2026-01-06T10:15:13.295496,bluetooth_le,unknown,,,7f:37:f0:7f:e4:c3,Unknown Manufacturer,,-91,-85,WEAK,,,49,,,,,,,,,system
2026-01-06T10:15:15.307188,2026-01-06 10:15:15,2026-01-06T10:15:15.307188,wifi,beacon_unknown,Tech-WLAN,,,Unknown,,-73,,,,,1,,,,,,,,,system
2026-01-06T10:15:16.924367,2026-01-06 10:15:16,2026-01-06T10:15:16.924367,wifi,probe_request_unknown,,,da:f2:15:41:e2:6b,Unknown Manufacturer,,-95,,WEAK,6,,1,,,,,,,,,system
2026-01-06T10:15:19.497916,2026-01-06 10:15:19,2026-01-06T10:15:19.497916,bluetooth_le,unknown,,,f9:32:28:7c:67:bd,Unknown Manufacturer,,-62,-71,MEDIUM,,,21,,,,,,,,,system
2026-01-06T10:15:21.935667,2026-01-06 10:15:21,2026-01-06T10:15:21.935667,wifi,beacon_unknown,Tech-WLAN,,,Unknown,,-72,,,,,1,,,,,,,,,system
2026-01-06T10:15:22.051481,2026-01-06 10:15:22,2026-01-06T10:15:22.051481,wifi,beacon_unknown,ZKB Gast-WLAN,,ccc7,Unknown Manufacturer,,-73,,WEAK,1,,1,,,,,,,,,system
2026-01-06T10:15:22.615120,2026-01-06 10:15:22,2026-01-06T10:15:22.615120,wifi,beacon_unknown,Tech-WLAN,,,Unknown,,-73,,,,,1,,,,,,,,,system
2026-01-06T10:15:24.626543,2026-01-06 10:15:24,2026-01-06T10:15:24.626543,wifi,probe_request_unknown,Mobile-WLAN,,90:09:df:56:e8:57,Intel Corporate,,-81,,WEAK,6,,1,,,,,,,,,system
2026-01-06T10:15:31.049445,2026-01-06 10:15:31,2026-01-06T10:15:31.049445,bluetooth_le,unknown,,,fa:3e:ae:41:05:06,Unknown Manufacturer,,-87,-87,WEAK,,,19,,,,,,,,,system
2026-01-06T10:15:31.162525,2026-01-06 10:15:31,2026-01-06T10:15:31.162525,bluetooth_le,unknown,,,f3:d2:66:5d:61:e1,Unknown Manufacturer,,-89,-88,WEAK,,,11,,,,,,,,,system
2026-01-06T10:15:31.398013,2026-01-06 10:15:31,2026-01-06T10:15:31.398013,bluetooth_le,unknown,,,76:df:ae:e3:e2:03,Unknown Manufacturer,,-93,-88,WEAK,,,12,,,,,,,,,system
2026-01-06T10:15:31.515493,2026-01-06 10:15:31,2026-01-06T10:15:31.515493,bluetooth_le,unknown,,,ce:46:39:af:97:80,Unknown Manufacturer,,-90,-92,WEAK,,,14,,,,,,,,,system
2026-01-06T10:15:33.407987,2026-01-06 10:15:33,2026-01-06T10:15:33.407987,wifi,probe_request_unknown,,,96:c9:2e:13:b3:85,Unknown Manufacturer,,-87,,WEAK,7,,1,,,,,,,,,system
2026-01-06T10:15:37.306714,2026-01-06 10:15:37,2026-01-06T10:15:37.306714,bluetooth_le,unknown,,,dd:9b:53:17:ef:3f,Unknown Manufacturer,,-92,-95,WEAK,,,17,,,,,,,,,system
